In-State Tuition,Out-of-State Tuition,Median Earnings (10 yrs),School Name,State
,,19896.0,Searcy Beauty College,AR
6246.0,6246.0,,Shorter College,AR
19450.0,19450.0,38484.0,Williams Baptist University,AR
3012.0,5124.0,34521.0,South Arkansas College,AR
9680.0,15110.0,42386.0,Southern Arkansas University Main Campus,AR
4519.0,4519.0,36376.0,Southern Arkansas University Tech,AR
,,17412.0,Velvatex College of Beauty Culture,AR
6168.0,13440.0,41102.0,University of Arkansas-Fort Smith,AR
26728.0,26728.0,39008.0,Academy of Art University,CA
,,,Academy of Chinese Culture and Health Sciences,CA
1148.0,8684.0,42563.0,College of Alameda,CA
1146.0,8994.0,42786.0,Allan Hancock College,CA
38325.0,38325.0,27019.0,American Academy of Dramatic Arts-Los Angeles,CA
2896.0,2896.0,,Berkeley School of Theology,CA
,,,American Film Institute Conservatory,CA
,,22481.0,American Beauty College,CA
,,38430.0,American Career College-Los Angeles,CA
1288.0,10768.0,40162.0,American River College,CA
1124.0,7724.0,36526.0,Antelope Valley Community College District,CA
49942.0,49942.0,71958.0,Art Center College of Design,CA
,,24368.0,Associated Technical College-Los Angeles,CA
,,26688.0,Associated Technical College-San Diego,CA
42330.0,42330.0,66677.0,Azusa Pacific University,CA
1430.0,9560.0,37291.0,Bakersfield College,CA
1104.0,9072.0,35104.0,Barstow Community College,CA
,,23576.0,Bellus Academy-Chula Vista,CA
6560.0,6560.0,,Bethesda University,CA
44382.0,44382.0,56778.0,Biola University,CA
,,68767.0,Brownson Technical School,CA
12184.0,12184.0,40283.0,Bryan University,AZ
1336.0,7816.0,41810.0,Butte College,CA
,,48848.0,California Institute of Integral Studies,CA
1262.0,8630.0,44114.0,Cabrillo College,CA
38058.0,38058.0,61504.0,California Baptist University,CA
54706.0,54706.0,49414.0,California College of the Arts,CA
,,,University of California College of the Law-San Francisco,CA
60864.0,60864.0,128566.0,California Institute of Technology,CA
48012.0,48012.0,68712.0,California Lutheran University,CA
10319.0,28229.0,90768.0,California Polytechnic State University-San Luis Obispo,CA
13680.0,13680.0,66666.0,Alliant International University-San Diego,CA
7637.0,19517.0,59009.0,California State University-Bakersfield,CA
7734.0,19614.0,63188.0,California State University-Stanislaus,CA
7486.0,19366.0,59977.0,California State University-San Bernardino,CA
7439.0,19319.0,71902.0,California State Polytechnic University-Pomona,CA
7972.0,19852.0,64172.0,California State University-Chico,CA
7060.0,18940.0,57162.0,California State University-Dominguez Hills,CA
6663.0,18543.0,61244.0,California State University-Fresno,CA
7007.0,18887.0,62951.0,California State University-Fullerton,CA
6995.0,18875.0,71401.0,California State University-East Bay,CA
6884.0,18764.0,64403.0,California State University-Long Beach,CA
6805.0,18685.0,59211.0,California State University-Los Angeles,CA
7069.0,18949.0,59115.0,California State University-Northridge,CA
7484.0,19364.0,64876.0,California State University-Sacramento,CA
14395.0,44467.0,92446.0,University of California-Berkeley,CA
14858.0,44930.0,80838.0,University of California-Davis,CA
13939.0,44011.0,80735.0,University of California-Irvine,CA
13401.0,43473.0,82511.0,University of California-Los Angeles,CA
13874.0,43946.0,67699.0,University of California-Riverside,CA
14906.0,44978.0,84943.0,University of California-San Diego,CA
,,,University of California-San Francisco,CA
14617.0,44689.0,74915.0,University of California-Santa Barbara,CA
14240.0,44312.0,68396.0,University of California-Santa Cruz,CA
,,,Sofia University,CA
,,22255.0,California Beauty School,CA
10890.0,10890.0,,California Christian College,CA
7010.0,7010.0,,Haven University,CA
,,19347.0,California Hair Design Academy,CA
55056.0,55056.0,41198.0,California Institute of the Arts,CA
7116.0,18996.0,94784.0,California State University Maritime Academy,CA
,,,California Western School of Law,CA
1362.0,9006.0,50087.0,Canada College,CA
1162.0,9322.0,49022.0,College of the Canyons,CA
,,24410.0,Career Academy of Beauty,CA
,,49854.0,Casa Loma College-Los Angeles,CA
,,32986.0,CET-San Diego,CA
,,32986.0,CET-San Jose,CA
,,32986.0,CET-El Centro,CA
,,32986.0,CET-Colton,CA
,,32986.0,CET-Watsonville,CA
,,32986.0,CET-Salinas,CA
1364.0,10324.0,41156.0,Cerritos College,CA
1384.0,9514.0,34963.0,Cerro Coso Community College,CA
1150.0,8158.0,48143.0,Chabot College,CA
1184.0,9392.0,42975.0,Chaffey College,CA
60672.0,60672.0,70070.0,Chapman University,CA
14954.0,14954.0,83438.0,Charles R Drew University of Medicine and Science,CA
40180.0,40180.0,65083.0,Concordia University-Irvine,CA
26300.0,26300.0,49766.0,San Diego Christian College,CA
,,,Church Divinity School of the Pacific,CA
1198.0,9310.0,42065.0,Citrus College,CA
,,,Citrus Heights Beauty College,CA
1696.0,12244.0,45805.0,City College of San Francisco,CA
,,64372.0,Claremont Graduate University,CA
60715.0,60715.0,104736.0,Claremont McKenna College,CA
